"game_title";"release_date";"price";"total_reviews";"genre";"developper";"publisher";"link-href";"description"
"Portal Knights";"18 mai 2017";"21.99";"16530";"Action, Aventure, RPG";"Keen Games GmbH";"505 Games";"https://store.steampowered.com/app/374040/Portal_Knights/?snr=1_7_7_230_150_79";"Laissez le monde familier derrière vous et plongez dans un monde inconnu fantastique avec Portal Knights ! Jouez avec vos amis dans cette aventure bourrée d'action à travers des mondes sandbox fantaisistes en 3D.Fabriquez votre aventure. Forgez votre héros. Devenez l'ultime Portal Knight !"
"Nobody Wants to Die";"17 juil. 2024";"34.49";"3653";"Aventure";"Critical Hit Games";"PLAION";"https://store.steampowered.com/app/1939970/Nobody_Wants_to_Die/?snr=1_7_7_230_150_79";"New York 2329. Dans cette vertigineuse dystopie, l'immortalité est possible, mais il faut en payer le prix. Utilisez des technologies avancées pour mener l'enquête dans la peau du détective James Karra, sur la piste d'un dangereux tueur en série qui s'en prend à l'élite de la ville."
"Fallen Aces";"14 juin 2024";"18.99";"5826";"Action, Indépendant, Accès anticipé";"Trey Powell";"New Blood Interactive";"https://store.steampowered.com/app/1411910/Fallen_Aces/?snr=1_7_7_230_150_79";"The A.C.E.S, watchful guardians of Switchblade City, are being taken down, one by one. Now it's up to one man, with two fists, to get to the bottom of it all. Fallen Aces is a crime noir FPS that plays right out of the '90s and looks like it's right outta the comics."
"Fallen Aces";"14 juin 2024";"18.99";"5826";"Action, Indépendant, Accès anticipé";"Jason Bond";"New Blood Interactive";"https://store.steampowered.com/app/1411910/Fallen_Aces/?snr=1_7_7_230_150_79";"The A.C.E.S, watchful guardians of Switchblade City, are being taken down, one by one. Now it's up to one man, with two fists, to get to the bottom of it all. Fallen Aces is a crime noir FPS that plays right out of the '90s and looks like it's right outta the comics."
"Arctic Eggs";"16 mai 2024";"12.99";"4116";"Aventure, Indépendant, Simulation";"The Water Museum";"CRITICAL REFLEX";"https://store.steampowered.com/app/2763670/Arctic_Eggs/?snr=1_7_7_230_150_78";"Œufs : deux parties parfaites. Les blancs simples. Le jaune sublime. L'un est inséparable de l'autre. Chœur et couplets. Une symphonie de saveurs. La mélodie nous rappelle les bains chauds et les nuits de films. La musique d'ascenseur menant à ce qui se trouve au-delà."
"Arctic Eggs";"16 mai 2024";"12.99";"4116";"Aventure, Indépendant, Simulation";"cockydoody";"CRITICAL REFLEX";"https://store.steampowered.com/app/2763670/Arctic_Eggs/?snr=1_7_7_230_150_78";"Œufs : deux parties parfaites. Les blancs simples. Le jaune sublime. L'un est inséparable de l'autre. Chœur et couplets. Une symphonie de saveurs. La mélodie nous rappelle les bains chauds et les nuits de films. La musique d'ascenseur menant à ce qui se trouve au-delà."
"Arctic Eggs";"16 mai 2024";"12.99";"4116";"Aventure, Indépendant, Simulation";"abmarnie";"CRITICAL REFLEX";"https://store.steampowered.com/app/2763670/Arctic_Eggs/?snr=1_7_7_230_150_78";"Œufs : deux parties parfaites. Les blancs simples. Le jaune sublime. L'un est inséparable de l'autre. Chœur et couplets. Une symphonie de saveurs. La mélodie nous rappelle les bains chauds et les nuits de films. La musique d'ascenseur menant à ce qui se trouve au-delà."
"Arctic Eggs";"16 mai 2024";"12.99";"4116";"Aventure, Indépendant, Simulation";"Cameron Ginex";"CRITICAL REFLEX";"https://store.steampowered.com/app/2763670/Arctic_Eggs/?snr=1_7_7_230_150_78";"Œufs : deux parties parfaites. Les blancs simples. Le jaune sublime. L'un est inséparable de l'autre. Chœur et couplets. Une symphonie de saveurs. La mélodie nous rappelle les bains chauds et les nuits de films. La musique d'ascenseur menant à ce qui se trouve au-delà."
"Five Nights at Freddy's 3";"2 mars 2015";"8.99";"9484";"Action, Indépendant, Simulation";"Scott Cawthon";"Scott Cawthon";"https://store.steampowered.com/app/354140/Five_Nights_at_Freddys_3/?snr=1_7_7_230_150_78";"Thirty years after Freddy Fazbear's Pizza closed it's doors, the events that took place there have become nothing more than a rumor and a childhood memory, but the owners of ""Fazbear's Fright: The Horror Attraction"" are determined to revive the legend and make the experience as authentic as possible for patrons, going to great l"
"Dread Delusion";"14 mai 2024";"22.79";"4064";"Action, Aventure, Indépendant, RPG";"Lovely Hellplace";"DreadXP";"https://store.steampowered.com/app/1574240/Dread_Delusion/?snr=1_7_7_230_150_78";"Dread Delusion is an open world RPG brimming with strange places and dark perils. Carve your own path through the flying continents of a shattered land. Discover curious towns, unearth occult secrets, master powerful magic - and change the world through your choices."
"Lost Castle 2";"24 juil. 2024";"19.49";"7602";"Action, Aventure, Indépendant, RPG, Accès anticipé";"Hunter Studio";"Hunter Studio";"https://store.steampowered.com/app/2445690/Lost_Castle_2/?snr=1_7_7_230_150_78";"""Lost Castle 2"" is a 2D Beat'em up Rogue-Lite game. Explore abundant treasures and items to enhance yourself, master various weapons to showcase your skills, and challenge powerful monsters to demonstrate your strength. A new adventure is calling for treasure hunters!"
"Imperator: Rome";"25 avr. 2019";"52.99";"19192";"Simulation, Stratégie";"Paradox Development Studio";"Paradox Interactive";"https://store.steampowered.com/app/859580/Imperator_Rome/?snr=1_7_7_230_150_78";"Dominez le monde méditerranéen antique dans Imperator: Rome, un grand jeu de stratégie de Paradox Interactive. Traversez les méandres de la politique et de la diplomatie, renforcez vos provinces et partez à la conquête de terres étrangères. Disponible avec un contenu spécial et l'artbook numérique."
"STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™";"8 févr. 2005";"12.99";"21327";"RPG";"Obsidian Entertainment";"LucasArts";"https://store.steampowered.com/app/208580/STAR_WARS_Knights_of_the_Old_Republic_II__The_Sith_Lords/?snr=1_7_7_230_150_78";"5 années après les évènements du jeu original récompensé par la critique, les Sith sont sur le point d'écraser l'Ancienne République. En tant que Jedi solitaire, suivrez-vous la lumière ou succomberez-vous pour le côté obscur ?"
"STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™";"8 févr. 2005";"12.99";"21327";"RPG";"Aspyr (Mac";"LucasArts";"https://store.steampowered.com/app/208580/STAR_WARS_Knights_of_the_Old_Republic_II__The_Sith_Lords/?snr=1_7_7_230_150_78";"5 années après les évènements du jeu original récompensé par la critique, les Sith sont sur le point d'écraser l'Ancienne République. En tant que Jedi solitaire, suivrez-vous la lumière ou succomberez-vous pour le côté obscur ?"
"STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™";"8 févr. 2005";"12.99";"21327";"RPG";"Linux";"LucasArts";"https://store.steampowered.com/app/208580/STAR_WARS_Knights_of_the_Old_Republic_II__The_Sith_Lords/?snr=1_7_7_230_150_78";"5 années après les évènements du jeu original récompensé par la critique, les Sith sont sur le point d'écraser l'Ancienne République. En tant que Jedi solitaire, suivrez-vous la lumière ou succomberez-vous pour le côté obscur ?"
"STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™";"8 févr. 2005";"12.99";"21327";"RPG";"& Windows Update)";"LucasArts";"https://store.steampowered.com/app/208580/STAR_WARS_Knights_of_the_Old_Republic_II__The_Sith_Lords/?snr=1_7_7_230_150_78";"5 années après les évènements du jeu original récompensé par la critique, les Sith sont sur le point d'écraser l'Ancienne République. En tant que Jedi solitaire, suivrez-vous la lumière ou succomberez-vous pour le côté obscur ?"
