"game_title";"release_date";"price";"total_reviews";"genre";"developper";"publisher";"link-href";"description"
"飞越13号房";"9 janv. 2023";"12.99";"6751";"Aventure, Indépendant, RPG";"ALT Lab";"ALT Lab";"https://store.steampowered.com/app/2095300/13/?snr=1_7_7_230_150_220";"Breakout 13 is a thrilling narrative game with interactive cinematic experience. Based on true stories. Embark on a revealing journey as you attempt to break free from a negligent correctional institute and carve out your own path to justice. Each decision you make shapes the story."
"Trackmania United Forever";"16 avr. 2008";"29.99";"2366";"Course automobile";"Nadeo";"Ubisoft";"https://store.steampowered.com/app/7200/Trackmania_United_Forever/?snr=1_7_7_230_150_220";"TrackMania est le jeu de course le plus amusant qui soit. Des millions de joueurs ne s'y sont pas trompés en mode solo comme en mode multijoueur. TrackMania United Forever est la dernière version cumulant toutes les additions des développements du jeu."
"Insurgency";"22 janv. 2014";"17.49";"86394";"Action, Indépendant, Stratégie";"New World Interactive";"New World Interactive";"https://store.steampowered.com/app/222880/Insurgency/?snr=1_7_7_230_150_220";"Take to the streets for intense close quarters combat, where a team's survival depends upon securing crucial strongholds and destroying enemy supply in this multiplayer and cooperative Source Engine based experience."
"ΔV: Rings of Saturn";"21 juil. 2023";"11.49";"2556";"Action, Indépendant, Simulation";"Kodera Software";"Kodera Software";"https://store.steampowered.com/app/846030/DV_Rings_of_Saturn/?snr=1_7_7_230_150_220";"Une simulation physique minière, située dans le champ de débris de Sol. Toute action a une réaction, les lasers sont invisibles sans contact, et votre réacteur est une arme. Commercez, adaptez votre style de jeu, engagez un équipage. Découvrez les mystères des anneaux, ou devenez simplement riche."
"Marvel vs. Capcom: Infinite";"19 sept. 2017";"59.99";"2340";"Action";"Capcom";"Capcom";"https://store.steampowered.com/app/493840/Marvel_vs_Capcom_Infinite/?snr=1_7_7_230_150_220";"La confrontation épique entre deux univers incroyablement fouillés connaît un nouveau rebondissement avec Marvel vs. Capcom: Infinite. Avec les Gemmes de l'Infini pour unique espoir, d'intrépides héros s'unissent pour contrer Ultron Sigma, qui entend éradiquer toute forme de vie biologique."
"THE HOUSE OF THE DEAD: Remake";"28 avr. 2022";"29.99";"2343";"Action";"MegaPixel Studio S. A.";"Forever Entertainment S. A.";"https://store.steampowered.com/app/1694600/THE_HOUSE_OF_THE_DEAD_Remake/?snr=1_7_7_230_150_220";"THE HOUSE OF THE DEAD: Remake est une version retravaillée du jeu d'arcade sorti en 1997. Un classique du shooter sur rail qui reçoit un tout nouvel environnement et un gameplay différent pour moderniser le jeu."
"Do Not Feed the Monkeys";"23 oct. 2018";"20.79";"9425";"Indépendant, Simulation, Stratégie";"Fictiorama Studios";"Alawar";"https://store.steampowered.com/app/658850/Do_Not_Feed_the_Monkeys/?snr=1_7_7_230_150_219";"A digital voyeur simulator where you watch strangers through surveillance cameras. Invade their privacy and witness their most intimate moments, but don’t interact with the subjects – anything could happen if you dare feed the monkeys!"
"Army of Ruin";"8 juin 2023";"10.49";"2299";"Action, Occasionnel, Indépendant";"Milkstone Studios";"Milkstone Studios";"https://store.steampowered.com/app/1918040/Army_of_Ruin/?snr=1_7_7_230_150_219";"Décimez des hordes d'ennemis avec de redoutables armes et de puissants sorts ! Améliorez vos compétences pour affronter des ennemis plus dangereux encore ! Army of Ruin est un auto-shooter où le Bullet Hell, c'est vous."
"Shadow Tactics: Aiko's Choice";"6 déc. 2021";"26.99";"3763";"Indépendant, Stratégie";"Mimimi Games";"Daedalic Entertainment";"https://store.steampowered.com/app/1579380/Shadow_Tactics_Aikos_Choice/?snr=1_7_7_230_150_219";"Aiko's Choice est l'extension autonome tant attendue du célèbre jeu tactique de furtivité Shadow Tactics. Dans le Japon de la période Edo, vous incarnerez Aiko, l'habile adepte kunoichi, et son groupe d'assassins, en quête des fantômes du passé."
"Dig or Die";"10 juil. 2018";"15.49";"3814";"Action, Indépendant, RPG, Stratégie";"Gaddy Games";"Gaddy Games";"https://store.steampowered.com/app/315460/Dig_or_Die/?snr=1_7_7_230_150_219";"Rescapé sur une planète hostile et sans merci, construisez de puissantes défenses pour en réchapper. Mais attention, bâtissez solide et prudemment si vous voulez éviter qu'inondations et effondrements mettent un terme à vos derniers espoirs."
"Ring of Pain";"15 oct. 2020";"22.79";"3149";"Indépendant, Stratégie";"Simon Boxer";"Humble Games";"https://store.steampowered.com/app/998740/Ring_of_Pain/?snr=1_7_7_230_150_219";"Voici Ring of Pain, un jeu de cartes mêlant rogue-like et exploration de donjons. Chacune de vos décisions est importante. Allez-vous prendre le butin ou poignarder cette créature ? Rencontrez d'étranges amis généreux, choisissez bien votre équipement et percez les secrets de l'anneau de la douleur."
"Ring of Pain";"15 oct. 2020";"22.79";"3149";"Indépendant, Stratégie";"Twice Different";"Humble Games";"https://store.steampowered.com/app/998740/Ring_of_Pain/?snr=1_7_7_230_150_219";"Voici Ring of Pain, un jeu de cartes mêlant rogue-like et exploration de donjons. Chacune de vos décisions est importante. Allez-vous prendre le butin ou poignarder cette créature ? Rencontrez d'étranges amis généreux, choisissez bien votre équipement et percez les secrets de l'anneau de la douleur."
"Commander Quest";"4 avr. 2025";"15.49";"2489";"Indépendant, Simulation, Stratégie";"Flyway Games";"Flyway Games, Inc.";"https://store.steampowered.com/app/2697930/Commander_Quest/?snr=1_7_7_230_150_219";"Félicitations ! Vous avez trouvé un roguelike unique qui combine construction de deck et stratégie en temps réel ! Tenez compte des contre-attaques des unités, créez des synergies puissantes entre champ de bataille et cartes, et menez votre armée à la victoire !"
"Commander Quest";"4 avr. 2025";"15.49";"2489";"Indépendant, Simulation, Stratégie";"Inc.";"Flyway Games, Inc.";"https://store.steampowered.com/app/2697930/Commander_Quest/?snr=1_7_7_230_150_219";"Félicitations ! Vous avez trouvé un roguelike unique qui combine construction de deck et stratégie en temps réel ! Tenez compte des contre-attaques des unités, créez des synergies puissantes entre champ de bataille et cartes, et menez votre armée à la victoire !"
"Saints Row: Gat out of Hell";"20 janv. 2015";"20.99";"7551";"Action";"Deep Silver Volition";"Deep Silver";"https://store.steampowered.com/app/301910/Saints_Row_Gat_out_of_Hell/?snr=1_7_7_230_150_219";"Incarnez Johnny Gat ou Kinzie Kensington et semez le chaos dans les enfers au cours d’une quête pour sauver l’âme du chef des Saints."
"Saints Row: Gat out of Hell";"20 janv. 2015";"20.99";"7551";"Action";"High Voltage Software";"Deep Silver";"https://store.steampowered.com/app/301910/Saints_Row_Gat_out_of_Hell/?snr=1_7_7_230_150_219";"Incarnez Johnny Gat ou Kinzie Kensington et semez le chaos dans les enfers au cours d’une quête pour sauver l’âme du chef des Saints."
"Torchlight III";"13 oct. 2020";"45.49";"10268";"Action, Aventure, RPG";"Echtra Inc.";"Arc Games";"https://store.steampowered.com/app/1030210/Torchlight_III/?snr=1_7_7_230_150_218";"Dans Torchlight III, Novastraia est à nouveau menacée d'invasion, et il en revient à vous de la défendre contre les néthérims et leurs alliés. Reprenez les armes et bravez la Frontière pour y trouver la renommée, la fortune, mais surtout de nouvelles aventures !"
"Flotsam";"26 sept. 2019";"28.99";"2559";"Indépendant, Simulation, Stratégie, Accès anticipé";"Pajama Llama Games";"Stray Fawn Publishing";"https://store.steampowered.com/app/821250/Flotsam/?snr=1_7_7_230_150_218";"Un jeu de survie et de construction de ville à partir de déchets flottants ! Récupérez les précieux déchets qui dérivent à la surface de l'océan et développez votre ville tout en vous efforçant de survivre dans un monde post-apocalyptique haut en couleurs."
"Freedom Planet";"21 juil. 2014";"16.99";"3221";"Action, Indépendant";"GalaxyTrail";"GalaxyTrail";"https://store.steampowered.com/app/248310/Freedom_Planet/?snr=1_7_7_230_150_218";"Freedom Planet est un jeu de plate-forme de combat inspiré de dessins animés où une dragonoïde téméraire et ses amies affrontent une attaque d'aliens."
"Later Alligator";"18 sept. 2019";"20.49";"2575";"Indépendant";"SmallBü";"SmallBü";"https://store.steampowered.com/app/966320/Later_Alligator/?snr=1_7_7_230_150_218";"Pat the alligator, a (mostly) harmless and (probably) innocent reptile is at the center of a conspiracy that could bring down the biggest, scariest family in Alligator New York City: his own! Explore the city, meet the Family, and try to save Pat before the clock runs out."
"Later Alligator";"18 sept. 2019";"20.49";"2575";"Indépendant";"Pillow Fight";"SmallBü";"https://store.steampowered.com/app/966320/Later_Alligator/?snr=1_7_7_230_150_218";"Pat the alligator, a (mostly) harmless and (probably) innocent reptile is at the center of a conspiracy that could bring down the biggest, scariest family in Alligator New York City: his own! Explore the city, meet the Family, and try to save Pat before the clock runs out."
"I Wani Hug that Gator!";"14 févr. 2024";"19.49";"4655";"Occasionnel, Indépendant";"Cavemanon";"Cavemanon";"https://store.steampowered.com/app/1895350/I_Wani_Hug_that_Gator/?snr=1_7_7_230_150_217";"I Wani Hug that Gator! Is a choice-driven narrative about teenagers struggling to find their way. Help Inco, loser highschooler extraordinaire, navigate his budding friendships (and romance!) while surviving being the only human in a dinosaur-filled school."
"N++ (NPLUSPLUS)";"25 aout 2016";"16.99";"2562";"Action";"Metanet Software Inc.";"Metanet Software Inc.";"https://store.steampowered.com/app/230270/N_NPLUSPLUS/?snr=1_7_7_230_150_217";"N++ est un jeu de plateforme où vitesse et action vont de pair. Vous allez devoir foncer à travers les obstacles en évitant de justesse les ennemis et récupérer de l'or dans un sublime décor minimaliste."
"I Am Fish";"16 sept. 2021";"22.79";"2297";"Aventure, Simulation";"Bossa Studios";"Curve Games";"https://store.steampowered.com/app/1472560/I_Am_Fish/?snr=1_7_7_230_150_217";"I Am Fish est un charmant jeu d'aventure basé sur la physique avec quatre poissons intrépides arrachés à leur foyer et enfermés dans un aquarium. Nagez, volez, roulez et mordez pour retrouver votre liberté et vos amis dans l'océan."
"The Front";"11 oct. 2023";"25.99";"9061";"Action, Indépendant, Massivement multijoueur, Simulation, Accès anticipé";"Samar Studio";"Samar Studio";"https://store.steampowered.com/app/2285150/The_Front/?snr=1_7_7_230_150_217";"The Front est un jeu de tir de survie et d'artisanat en monde ouvert. Vous incarnez un résistant renvoyé dans le temps pour arrêter la montée d'un empire tyrannique. Collectez des ressources, fabriquez de la technologie, construisez un abri et combattez des monstres pour mener à bien votre mission."
"Weed Shop 3";"20 avr. 2022";"25.99";"3888";"Occasionnel, Indépendant, Simulation, Stratégie";"Weed Games";"Weed Games";"https://store.steampowered.com/app/1182110/Weed_Shop_3/?snr=1_7_7_230_150_217";"BUILD YOUR VIRTUAL WEED EMPIRE: Grow the hottest strains & crossbreed new ones, roll your own Blunts, sell Bongs, hire Growers, make Solventless Concentrates, handle Rival Dealers, befriend Influencers, smoke Dabs, ride a Dolphin, and More! WELCOME TO WEED SHOP 3!"
"Ys I & II Chronicles+";"14 févr. 2013";"16.99";"2507";"Action, Aventure, RPG";"Nihon Falcom";"XSEED Games";"https://store.steampowered.com/app/223810/Ys_I__II_Chronicles/?snr=1_7_7_230_150_217";"Long, long ago, there was an ancient kingdom called Ys which prospered under the auspices of two heavenly Goddesses. Over time, the kingdom came to be known as Esteria, and its divine history was largely forgotten by all but the descendants of those who once preached the Goddesses’ will."
"Torchlight";"27 oct. 2009";"16.99";"5207";"RPG";"Runic Games";"Arc Games";"https://store.steampowered.com/app/41500/Torchlight/?snr=1_7_7_230_150_217";"L'aventure vous attend dans le tout premier titre de Runic Games, un fantastique jeu rôle et d'action primé ! Explorez les profondeurs aléatoires de cette ville en plein essor, emparez-vous de trésors et montez en niveaux pour sauver Torchlight, et peut-être le monde."
"天命奇御二 Fate Seeker II";"22 nov. 2021";"28.67";"11233";"RPG";"JSL Entertainment";"JSL Entertainment";"https://store.steampowered.com/app/1559390/_Fate_Seeker_II/?snr=1_7_7_230_150_217";"Following the previous one, “Fate Seeker II” character development, thinking and exploration and other elements. You can experience real-time combat without switching scenes, and feel the delightful martial arts anytime."
"GemCraft - Chasing Shadows";"30 avr. 2015";"12.99";"3497";"Action, Indépendant, Stratégie";"Game in a Bottle";"Armor Games Studios";"https://store.steampowered.com/app/296490/GemCraft__Chasing_Shadows/?snr=1_7_7_230_150_216";"An epic, challenging tower defense game with an emphasis on strategy and replayability. Summon gems of immense magical potency and harness their unique abilities against a seemingly endless horde of monsters. The archdemon seeks to swallow the world, and you must journey to stand against her."
"Sundered®: Eldritch Edition";"28 juil. 2017";"25.99";"3968";"Action, Aventure, Indépendant";"Thunder Lotus";"Thunder Lotus";"https://store.steampowered.com/app/535480/Sundered_Eldritch_Edition/?snr=1_7_7_230_150_216";"Sundered est un jeu de style « metroidvania » chaotique et dessiné à la main dans lequel vous devez résister ou succomber à d'anciennes puissances surnaturelles. Développé par les créateurs de Jotun, Sundered propose désormais un mode de coopération en local !"
"Train Valley 2";"15 avr. 2019";"17.49";"2167";"Aventure, Occasionnel, Indépendant, Simulation, Stratégie";"Alexey Davydov";"Flazm";"https://store.steampowered.com/app/602320/Train_Valley_2/?snr=1_7_7_230_150_216";"Construisez des réseaux ferroviaires plus grands et plus complexes que jamais ! Retrouvez tout ce que vous avez aimé dans le jeu original, et bien plus. Avec les défis de plus en plus difficiles et complexes des industries locales, la Vallée n'a jamais été aussi vaste ! ATTENTION AU DÉPART !"
"Train Valley 2";"15 avr. 2019";"17.49";"2167";"Aventure, Occasionnel, Indépendant, Simulation, Stratégie";"Sergey Dvoynikov";"Flazm";"https://store.steampowered.com/app/602320/Train_Valley_2/?snr=1_7_7_230_150_216";"Construisez des réseaux ferroviaires plus grands et plus complexes que jamais ! Retrouvez tout ce que vous avez aimé dans le jeu original, et bien plus. Avec les défis de plus en plus difficiles et complexes des industries locales, la Vallée n'a jamais été aussi vaste ! ATTENTION AU DÉPART !"
"Train Valley 2";"15 avr. 2019";"17.49";"2167";"Aventure, Occasionnel, Indépendant, Simulation, Stratégie";"Timofey Shargorodskiy";"Flazm";"https://store.steampowered.com/app/602320/Train_Valley_2/?snr=1_7_7_230_150_216";"Construisez des réseaux ferroviaires plus grands et plus complexes que jamais ! Retrouvez tout ce que vous avez aimé dans le jeu original, et bien plus. Avec les défis de plus en plus difficiles et complexes des industries locales, la Vallée n'a jamais été aussi vaste ! ATTENTION AU DÉPART !"
"Train Valley 2";"15 avr. 2019";"17.49";"2167";"Aventure, Occasionnel, Indépendant, Simulation, Stratégie";"Flazm";"Flazm";"https://store.steampowered.com/app/602320/Train_Valley_2/?snr=1_7_7_230_150_216";"Construisez des réseaux ferroviaires plus grands et plus complexes que jamais ! Retrouvez tout ce que vous avez aimé dans le jeu original, et bien plus. Avec les défis de plus en plus difficiles et complexes des industries locales, la Vallée n'a jamais été aussi vaste ! ATTENTION AU DÉPART !"
"Calico";"15 déc. 2020";"13.49";"3138";"Occasionnel, Indépendant, RPG, Simulation";"Peachy Keen Games";"Whitethorn Games";"https://store.steampowered.com/app/1112890/Calico/?snr=1_7_7_230_150_216";"Calico is a day-in-the-life community sim game where you are given an important and adorable task: rebuild the town’s cat café and fill it with cute and cuddly creatures! Build up your café by filling it with cute furniture, fun decorations, yummy pastries, and get it bustling with animals again!"
"Natural Selection 2";"30 oct. 2012";"6.49";"8519";"Action, Indépendant, Stratégie";"Unknown Worlds Entertainment";"Unknown Worlds Entertainment";"https://store.steampowered.com/app/4920/Natural_Selection_2/?snr=1_7_7_230_150_216";"Un jeux de tir multijoueur nerveux qui oppose des aliens aux humains dans une lutte stratégique et bourée d'action pour la survie de l'éspèce!"
"Mount Your Friends";"29 juil. 2014";"4.99";"5143";"Indépendant, Simulation, Sport";"Stegersaurus Software Inc.";"Stegersaurus Software Inc.";"https://store.steampowered.com/app/296470/Mount_Your_Friends/?snr=1_7_7_230_150_216";"Experience the extreme simulated sporting sensation that's sweeping our digital nation! Mount Your Friends is a fiercely competitive sporting event for you to play with your friends in the contextual security of your own home, assuming that your home is not composed of sexual innuendo."
"The Sexy Brutale";"11 avr. 2017";"21.99";"2724";"Aventure, Indépendant";"Cavalier Game Studios";"Cavalier Game Studios";"https://store.steampowered.com/app/552590/The_Sexy_Brutale/?snr=1_7_7_230_150_215";"The Sexy Brutale, un bal masqué sans fin parsemé d'intrigues, de meurtres et d'évènements surnaturels. Revivez ce bal masqué mystérieux et meurtrier alors que l'histoire se déroule en temps réel. Vous devrez résoudre chaque énigme et mettre fin à cette boucle interminable afin de sauver la vie de tous les invités et la votre."
"The Sexy Brutale";"11 avr. 2017";"21.99";"2724";"Aventure, Indépendant";"Tequila Works";"Cavalier Game Studios";"https://store.steampowered.com/app/552590/The_Sexy_Brutale/?snr=1_7_7_230_150_215";"The Sexy Brutale, un bal masqué sans fin parsemé d'intrigues, de meurtres et d'évènements surnaturels. Revivez ce bal masqué mystérieux et meurtrier alors que l'histoire se déroule en temps réel. Vous devrez résoudre chaque énigme et mettre fin à cette boucle interminable afin de sauver la vie de tous les invités et la votre."
"Black Skylands";"15 aout 2023";"25.99";"2574";"Action, Aventure, Indépendant, RPG";"Hungry Couch Games";"tinyBuild";"https://store.steampowered.com/app/1143810/Black_Skylands/?snr=1_7_7_230_150_215";"Prends la barre d’un navire, explore les cieux, rassemble des ressources, construis de puissantes armes, découvre des secrets anciens et combats sur le pont de ton navire."
"Binary Domain";"27 avr. 2012";"16.99";"3229";"Action";"Devil's Details";"SEGA";"https://store.steampowered.com/app/203750/Binary_Domain/?snr=1_7_7_230_150_215";"Se déroulant dans un Tokyo futuriste, prenez le contrôle d'une communauté robotique avant qu'ils le contrôlent tout !"
"Never Alone (Kisima Ingitchuna)";"18 nov. 2014";"16.99";"5713";"Action, Aventure, Occasionnel, Indépendant";"Upper One Games";"E-Line Media";"https://store.steampowered.com/app/295790/Never_Alone_Kisima_Ingitchuna/?snr=1_7_7_230_150_215";"Never Alone est un jeu de plates-formes pour 1 ou 2 joueurs. Développé en collaboration avec la communauté nord-amérindienne de l'Alaska, le jeu se plonge dans la culture du peuple des Iñupiat pour offrir une expérience de jeu unique."
"Never Alone (Kisima Ingitchuna)";"18 nov. 2014";"16.99";"5713";"Action, Aventure, Occasionnel, Indépendant";"E-Line Media";"E-Line Media";"https://store.steampowered.com/app/295790/Never_Alone_Kisima_Ingitchuna/?snr=1_7_7_230_150_215";"Never Alone est un jeu de plates-formes pour 1 ou 2 joueurs. Développé en collaboration avec la communauté nord-amérindienne de l'Alaska, le jeu se plonge dans la culture du peuple des Iñupiat pour offrir une expérience de jeu unique."
"Bright Memory";"25 mars 2020";"8.99";"29991";"Action, Aventure, Indépendant";"FYQD-Studio";"FYQD-Studio";"https://store.steampowered.com/app/955050/Bright_Memory/?snr=1_7_7_230_150_215";"Bright Memory est un jeu mélangeant FPS et action créé à l'aide d'Unreal Engine par le studio de développement FYQD composé d'une seule personne. Combinez une grande variété de techniques et de capacités pour réaliser de superbes combos d'attaque à la vitesse de la lumière !"
"Little Big Workshop";"17 oct. 2019";"27.99";"2444";"Simulation, Stratégie";"Mirage Game Studios";"HandyGames";"https://store.steampowered.com/app/574720/Little_Big_Workshop/?snr=1_7_7_230_150_215";"Gérez vos employés, vos stations, vos machines et créez des choses géniales pendant que votre Little Big Workshop grandit dans l'usine de vos rêves !"
"Little Witch Nobeta";"29 sept. 2022";"24.99";"9216";"Action, Indépendant";"Pupuya Games";"Pupuya Games";"https://store.steampowered.com/app/1049890/Little_Witch_Nobeta/?snr=1_7_7_230_150_215";"Control the lovely little witch Nobeta, explore the unknown mysterious castle, and gradually discover the truth!"
"Xenonauts";"16 juin 2014";"29.99";"3702";"Indépendant, Simulation, Stratégie";"Goldhawk Interactive";"Goldhawk Interactive";"https://store.steampowered.com/app/223830/Xenonauts/?snr=1_7_7_230_150_215";"Xenonauts is a strategy game in which you control a multi-national military organisation defending a Cold War-era Earth from alien invasion, using small squads of persistent soldiers to eliminate the extraterrestrials and recover their technology in turn-based ground combat."
"Impostor Factory";"30 sept. 2021";"12.99";"11219";"Aventure, Occasionnel, Indépendant, RPG";"Freebird Games";"Freebird Games";"https://store.steampowered.com/app/1182620/Impostor_Factory/?snr=1_7_7_230_150_215";"Un thriller policier givré plein de boucles temporelles et de victimes avec, en plus, un chat plus que louche sorti de l’esprit du créateur de To the Moon & Finding Paradise."
"THE KING OF FIGHTERS XIV STEAM EDITION";"15 juin 2017";"66.49";"3251";"Action";"SNK CORPORATION";"SNK CORPORATION";"https://store.steampowered.com/app/571260/THE_KING_OF_FIGHTERS_XIV_STEAM_EDITION/?snr=1_7_7_230_150_215";"“THE KING OF FIGHTERS XIV” arrive enfin sur STEAM ! ""KOF XIV"" revient avec son gameplay de légende et son système de combat en 3 contre 3. 58 combattants charismatiques sont prêts à en découdre dans le tout dernier opus de la série KOF !"
"THE KING OF FIGHTERS XIV STEAM EDITION";"15 juin 2017";"66.49";"3251";"Action";"Abstraction Games";"SNK CORPORATION";"https://store.steampowered.com/app/571260/THE_KING_OF_FIGHTERS_XIV_STEAM_EDITION/?snr=1_7_7_230_150_215";"“THE KING OF FIGHTERS XIV” arrive enfin sur STEAM ! ""KOF XIV"" revient avec son gameplay de légende et son système de combat en 3 contre 3. 58 combattants charismatiques sont prêts à en découdre dans le tout dernier opus de la série KOF !"
"Brigador: Up-Armored Edition";"2 juin 2016";"26.99";"4337";"Action, Indépendant";"Stellar Jockeys";"Stellar Jockeys";"https://store.steampowered.com/app/274500/Brigador_UpArmored_Edition/?snr=1_7_7_230_150_214";"Lâchez-vous dans ce roguelite en vue isométrique ! 56 véhicules accessibles pour semer le chaos dans des décors entièrement destructibles. Le Glorieux Guide est mort : libérez Solo Nobre dès maintenant !"
"Brigador: Up-Armored Edition";"2 juin 2016";"26.99";"4337";"Action, Indépendant";"Gausswerks";"Stellar Jockeys";"https://store.steampowered.com/app/274500/Brigador_UpArmored_Edition/?snr=1_7_7_230_150_214";"Lâchez-vous dans ce roguelite en vue isométrique ! 56 véhicules accessibles pour semer le chaos dans des décors entièrement destructibles. Le Glorieux Guide est mort : libérez Solo Nobre dès maintenant !"
"Orcs Must Die! 2";"30 juil. 2012";"17.49";"12749";"Action, Aventure, Indépendant, RPG, Stratégie";"Robot Entertainment";"Robot Entertainment";"https://store.steampowered.com/app/201790/Orcs_Must_Die_2/?snr=1_7_7_230_150_214";"Are We There Yeti? Est disponible ! Sortez vos moufles car le War Mage et la Sorceress sont en chemin pour protéger la forteresse du nord !"
"Alaskan Road Truckers";"18 oct. 2023";"28.5";"2576";"Action, Aventure, Occasionnel, Indépendant, Course automobile, Simulation";"Road Studio S.A.";"Green Man Gaming Publishing";"https://store.steampowered.com/app/849100/Alaskan_Road_Truckers/?snr=1_7_7_230_150_214";"Mettez-vous dans la peau des camionneurs de l'Alaska. Installez-vous aux commandes de machines colossales et bravez l'un des environnements les plus rudes et les plus dangereux. Relevez le défi et tentez de survivre assez longtemps pour profiter pleinement de la beauté sauvage de l'Alaska."
"Sanctum 2";"15 mai 2013";"19.99";"7402";"Action, Indépendant, Stratégie";"Coffee Stain Studios";"Coffee Stain Publishing";"https://store.steampowered.com/app/210770/Sanctum_2/?snr=1_7_7_230_150_214";"Sanctum 2 is the sequel to the world’s first Tower Defense/FPS hybrid game. Pick from four unique character classes and embark on a mission to protect the oxygen-producing Cores from hordes of deadly aliens who are threatened by their existence."
"Creeper World 3: Arc Eternal";"27 mars 2014";"19.49";"3969";"Indépendant, Simulation, Stratégie";"Knuckle Cracker";"Knuckle Cracker";"https://store.steampowered.com/app/280220/Creeper_World_3_Arc_Eternal/?snr=1_7_7_230_150_214";"Creeper World 3 is what happens when cellular automata takes over a strategy simulation. Instead of discrete units that attack your base, a fluid-like substance spreads over the terraformable terrain. Your base, your weapons, your strategy... you must adapt them all."
"I Am Bread";"9 avr. 2015";"16.99";"4747";"Action, Aventure, Indépendant, Simulation";"Bossa Studios";"tinyBuild";"https://store.steampowered.com/app/327890/I_Am_Bread/?snr=1_7_7_230_150_214";"Les créateurs de Surgeon Simulator vous proposent une aventure avec un héros très original ! ""I am Bread"" raconte l'histoire épique d'une tranche de pain voulant devenir un toast. Incarnez cet aventurier intrépide, et à croquer, et voyagez depuis la cuisine jusqu'au monde extérieur, en parcourant la maison de son propriétaire,..."
"Exit the Gungeon";"17 mars 2020";"12.99";"3277";"Action, Aventure, Indépendant";"Dodge Roll";"Devolver Digital";"https://store.steampowered.com/app/1209490/Exit_the_Gungeon/?snr=1_7_7_230_150_213";"Exit the Gungeon est un petit jeu spin-off sympatoche d'action-arcade explosif qui se déroule juste après les aventures de Gungeonniers un peu barjots."
"Exit the Gungeon";"17 mars 2020";"12.99";"3277";"Action, Aventure, Indépendant";"Singlecore";"Devolver Digital";"https://store.steampowered.com/app/1209490/Exit_the_Gungeon/?snr=1_7_7_230_150_213";"Exit the Gungeon est un petit jeu spin-off sympatoche d'action-arcade explosif qui se déroule juste après les aventures de Gungeonniers un peu barjots."
"River City Girls";"5 sept. 2019";"33.99";"2819";"Action";"WayForward";"WayForward";"https://store.steampowered.com/app/1049320/River_City_Girls/?snr=1_7_7_230_150_213";"Il y a encore du grabuge dans les rues de River City, mais cette fois les garçons ne sont pas de la partie ! Dans cette toute nouvelle mouture de la légendaire série de beat-'em-up, nos héros au sang chaud Kunio et Riki ont été capturés, laissant à leurs copines farouches, Kyoko et Misako, le soin de distribuer les mandales."
"The Vanishing of Ethan Carter";"25 sept. 2014";"25.99";"6772";"Aventure, Indépendant";"The Astronauts";"The Astronauts";"https://store.steampowered.com/app/258520/The_Vanishing_of_Ethan_Carter/?snr=1_7_7_230_150_213";"The Vanishing of Ethan Carter is a first-person story-driven mystery. Purchase this game to get both the original and the Unreal Engine 4 remaster called The Vanishing of Ethan Carter Redux."
"White Day: A Labyrinth Named School";"22 aout 2017";"38.99";"3562";"Action, Aventure, Indépendant";"SONNORI Corp";"PQube";"https://store.steampowered.com/app/466130/White_Day_A_Labyrinth_Named_School/?snr=1_7_7_230_150_213";"Le cauchemar revient ! Le célèbre survival horror coréen White Day: A Labyrinth Named School revient terrifier la nouvelle génération de joueurs. Entrez dans la peau du lycéen Hee-Min Lee et affrontez les terreurs du lycée Yeondu dans un remake complet du chef d’œuvre original."
"Bus Simulator 18";"13 juin 2018";"32.49";"8346";"Simulation";"stillalive studios";"astragon Entertainment";"https://store.steampowered.com/app/515180/Bus_Simulator_18/?snr=1_7_7_230_150_213";"Incarnez un chauffeur de bus dans un monde urbain ouvert en solo ou en multi. Conduisez des modèles créés par des grands constructeurs comme Mercedes-Benz, Setra, MAN et IVECO BUS. Emmenez vos passagers à destination et soyez à l’heure !"
"Cyber Hook";"24 sept. 2020";"17.49";"2957";"Action, Indépendant";"Blazing Stick";"Graffiti Games";"https://store.steampowered.com/app/1130410/Cyber_Hook/?snr=1_7_7_230_150_213";"Foncez dans un monde retrowave sublime à l'aide de vos compétences en parkour et un grappin qui vous permettront de grimper et courir sur les murs dans ce jeu de plates-formes 3D rapide. Faites exploser vos ennemis, manipulez l'espace-temps et défiez les lois de la physique pour éviter de tomber."
"FlatOut";"12 juil. 2005";"43.99";"5002";"Action, Course automobile, Simulation";"Bugbear Entertainment";"Strategy First";"https://store.steampowered.com/app/6220/FlatOut/?snr=1_7_7_230_150_213";"Ram through pile-ups and smash through your windshield as you push racing to the edge! FlatOut™ delivers more heart-stopping thrills than any sane driver can handle!"
"FlatOut";"12 juil. 2005";"43.99";"5002";"Action, Course automobile, Simulation";"ZOOM Platform Media";"Strategy First";"https://store.steampowered.com/app/6220/FlatOut/?snr=1_7_7_230_150_213";"Ram through pile-ups and smash through your windshield as you push racing to the edge! FlatOut™ delivers more heart-stopping thrills than any sane driver can handle!"
"FlatOut";"12 juil. 2005";"43.99";"5002";"Action, Course automobile, Simulation";"Jordan Freeman Group";"Strategy First";"https://store.steampowered.com/app/6220/FlatOut/?snr=1_7_7_230_150_213";"Ram through pile-ups and smash through your windshield as you push racing to the edge! FlatOut™ delivers more heart-stopping thrills than any sane driver can handle!"
